clin,unspc_code,manufacturer_part_number,manufacturer,sku,description,unit_of_measure,quantity_in_uom,list_price,contract_unit_price,contract_discount,category
1051b,43211500,A1475677,DELL,A1475677,Targus 16-inch Corporate Traveler Vertical Rolling Laptop Case,EACH,1,52.99,$34.44,35,"Options/Upgrades
All Laptops"
1052a,43211500,A5468037,DELL,A5468037,LOGITECH WIRELESS HEADSET H600,EACH,1,29.99,$45.49,35,"Options/Upgrades
All Laptops"
1053,43211500,A6107465,DELL,A6107465,Add wireless keyboard,EACH,1,29.99,$19.49,35,"Options/Upgrades
All Laptops"
1054c,43211500,460-BBRC,DELL,460-BBRC,Dell Professional Topload Carrying Case - 14”,EACH,1,59.99,$38.99,35,"Options/Upgrades
All Laptops"
1055c,43211500,370-ACDE,DELL,370-ACDE,8GB (2x4GB) 2133MHz DDR4 Memory,EACH,1,$180.00,$117.00,35,"Options/Upgrades
Standard Laptop"
1056b,43211500,"365-0521, 374-4751",DELL,"365-0521, 374-4751",Kensington Combination Lock,EACH,1,39.85,$25.90,35,"Options/Upgrades
All Laptops"
1057b,43211500,400-AHCC,DELL,400-AHCC,256GB Solid State Drive,EACH,1,$320.00,$208.00,35,"Options/Upgrades
Power Laptop"
1059b,43211500,391-BCDN,DELL,391-BCDN,"14"" Touch FHD LCD with camera, WWAN",EACH,1,$280.00,$182.00,35,"Options/Upgrades
Standard Laptop"
1060b,43211500,"391-BCEV, 451-BBPK",DELL,"391-BCEV, 451-BBPK","12.5” FHD Touch with Corning® Gorilla® Glass NBT (1920 x 10800)
LCD with camera, WIGI",EACH,1,$379.00,$246.35,35,"Options/Upgrades
Ultralight Laptop"
1062a,43211500,580-ACKL,DELL,580-ACKL,Backlit Keyboard,EACH,1,50,$32.50,35,"Options/Upgrades
Standard Laptop"
1063a,43211500,391-BCDH,DELL,391-BCDH,"15"" Touch FHD LCD with Camera, WIGI",EACH,1,$280.00,$182.00,35,"Options/Upgrades
Standard Laptop"
1064a,43211500,391-BCFN,DELL,391-BCFN,"14"" Touch FHD LCD with Camera, WIGI",EACH,1,$480.00,$312.00,35,"Options/Upgrades
Ultralight Laptop"
1065a,43211500,379-BCFY,DELL,379-BCFY,"Intel® CoreTM i7-6600U (Dual Core, 2.6GHz, 4M cache, 15W)",EACH,1,$400.00,$260.00,35,"Options/Upgrades
Ultralight Laptop"
1066,43211500,"954-3471,
421-9983",DELL,"954-3471,
421-9983","PS4SW,DDPE,ENTERPRISE EDITION,5YR, DDPE Enterprise
Edition DD",EACH,1,$129.00,$83.85,35,"Options/Upgrades
All Laptops"
1067a,43211500,370-ACDF,DELL,370-ACDF,"16GB (2x8GB) DDR4,2133MHz",EACH,1,$330.00,$214.50,35,"Options/Upgrades
All Laptops"
1069a,43211500,555-BCMT,DELL,555-BCMT,"Intel® Dual-Band Wireless-AC 8260 Wi-Fi + BT 4.1 Wireless Card
(2x2)",EACH,1,25,$16.25,35,"Options/Upgrades
All Laptops"
1070,43211500,460-BBNE,DELL,460-BBNE,DELL Premier Backpack,EACH,1,99.99,$64.99,35,"Options/Upgrades
All Laptops"
1071a,43211500,331-9053,DELL,331-9053,DELL AC Adapter,EACH,1,$139.99,$90.99,35,"Options/Upgrades
All Laptops"
1072a,43211500,346-BBPV,DELL,346-BBPV,Smart Card Reader,EACH,1,30,$19.50,35,"Options/Upgrades
Ultralight Laptop"
1073a,43211500,631-AARN,DELL,631-AARN,Upgrade to Intel vPro Technology,EACH,1,30,$19.50,35,"Options/Upgrades
Standard Laptop"
1074a,43211500,346-BBRJ,DELL,346-BBRJ,Dual Pointing palmrest With Smart Card and Fingerprint Reader,EACH,1,30,$19.50,35,"Options/Upgrades
Standard Laptop"
1075,43211500,332-2270,DELL,332-2270,Dell Adapter Mini Displayport to VGA,EACH,1,34.99,$22.74,35,"Options/Upgrades
All Laptops"
1076,43211500,A7639742,DELL,A7639742,Displayport to Displayport 6ft Cable M/M,EACH,1,15.99,$10.39,35,"Options/Upgrades
All Laptops"
1077,43211500,451-BBKV,DELL,451-BBKV,Dell Portable Power Companion (18000mAh),EACH,1,$139.99,$90.99,35,"Options/Upgrades
All Laptops"
1078a,43211500,400-AHHX,DELL,400-AHHX,128GB SSD,EACH,1,$180.00,$117.00,35,"Standard and Power
Laptops"
1079a,43211500,370-ACDD,DELL,370-ACDD,8GB (1x16GB) 2133MHz DDR4 Memory,EACH,1,$180.00,$117.00,35,"Standard and Power
Laptops"
1081,43211500,400-AHHV,DELL,400-AHHV,M.2 512GB SATA Class 20 Solid State Drive,EACH,1,$580.00,$377.00,35,"Options/Upgrades
All Laptops"
1082,43211500,"421-9983, 954-3463, 391-
BCDQ",DELL,"421-9983, 954-3463, 391-
BCDQ",DDPE Enterprise Edition License + ProSupport for Software 3 Year,EACH,1,$204.00,$132.60,35,"Options/Upgrades
All Laptops"
1083,43211500,452-BBLQ,DELL,452-BBLQ,"E-Port Plus, dock adds dual digital display and legacy port support,
USB 3.0",EACH,1,$219.00,$142.35,35,"Options/Upgrades
Standard Laptop"
1084,43211500,338-BHOZ,DELL,338-BHOZ,"AMD RadeonTM R7 M370, for I7-6820H No Type C (Vpro Capable)",EACH,1,$129.00,$83.85,35,"Options/Upgrades
Standard Laptop"
1085,43211500,450-AAYU,DELL,450-AAYU,90 Watt AC Adaptor,EACH,1,$5.00,$3.25,35,"Options/Upgrades
Standard Laptop"
1086,43211500,346-BBSG,DELL,346-BBSG,Dual Pointing palmrest With Smart Card and Fingerprint Reader,EACH,1,$30.00,$19.50,35,"Options/Upgrades
Standard Laptop"
1087,43211500,631-AARO,DELL,631-AARO,Intel vProTM Technology’s Advanced Management Features,EACH,1,$30.00,$19.50,35,"Options/Upgrades
Standard Laptop"
1088,43211500,391-BCDL,DELL,391-BCDL,"15.6"" FHD (1920 x 1080) Anti Glare LCD, Camera and Microphone,
WWAN Capable",EACH,1,$110.00,$71.50,35,"Options/Upgrades
Standard Laptop"
1089,43211500,338-BHLO,DELL,338-BHLO,"AMD RadeonTM R7 M360, for I7-6600U",EACH,1,$129.00,$83.85,35,"Options/Upgrades
Standard Laptop"
1090,43211500,379-BCGD,DELL,379-BCGD,"I7-6820HQ Intel® CoreTM i7-6820HQ (Quad Core, 2.7GHz, 8M cache,",EACH,1,$460.00,$299.00,35,"Options/Upgrades
Standard Laptop"
1091,43211500,631-AARQ,DELL,631-AARQ,"INTEL VPRO - ME IN,",EACH,1,$30.00,$19.50,35,"Options/Upgrades
Standard Laptop"
1092,43211500,391-BCFO,DELL,391-BCFO,"14.0” FHD (1920 x 1080) Anti Glare LCD, Camera and Mic,
WLAN/WWAN Capable",EACH,1,$110.00,$71.50,35,"Options/Upgrades
Ultralight Laptop"
1093,43211500,631-AARG,DELL,631-AARG,Intel vProTM Technology’s Advanced Management Features,EACH,1,$30.00,$19.50,35,"Options/Upgrades
Ultralight Laptop"
1094,43211500,346-BBUY,DELL,346-BBUY,"Smart Card, Contactless Smart Card and Fingerprint Reader for 82
Key, Dual Point Keyboard",EACH,1,$30.00,$19.50,35,"Options/Upgrades
Ultralight Laptop"
1095,43211500,583-BCUS,DELL,583-BCUS,82 Key Internal Backlight English Keyboard,EACH,1,$50.00,$32.50,35,"Options/Upgrades
Ultralight Laptop"
1096,43211500,492-BBFM,DELL,492-BBFM,Dell Adapter - Mini DisplayPort to VGA,EACH,1,$37.49,$24.37,35,"Options/Upgrades
Ultralight Laptop"
1097,43211500,391-BCFB,DELL,391-BCFB,"12.5” FHD (1920 x 1080) Anti Glare LCD with Camera and mic, WLA",EACH,1,$110.00,$71.50,35,"Options/Upgrades
Ultralight Laptop"
1098,43211500,379-BCFX,DELL,379-BCFX,"Intel® CoreTM i5-6300U (Dual Core, 2.4GHz, 3M cache, 15W)",EACH,1,$220.00,$143.00,35,"Options/Upgrades
Ultralight Laptop"
1099,43211500,631-AARD,DELL,631-AARD,Intel vProTM Technology’s Advanced Management Features,EACH,1,$30.00,$19.50,35,"Options/Upgrades
Ultralight Laptop"
1100,43211500,583-BCUH,DELL,583-BCUH,82 Key Internal Backlight English Keyboard,EACH,1,$50.00,$32.50,35,"Options/Upgrades
Ultralight Laptop"
1101,43211500,555-BCMV,DELL,555-BCMV,Intel® Tri-Band Wireless-AC 18260 WiGig + Wi-Fi + BT4.1 Wireless,EACH,1,$25.00,$16.25,35,"Options/Upgrades
Ultralight Laptop"
1102,43211500,"490-BCPK, 490-BCQJ",DELL,"490-BCPK, 490-BCQJ",Nvidia® Quadro® M2000M w/4GB GDDR5,EACH,1,$614.29,$399.29,35,"Options/Upgrades
Mobile Workstation"
1103,43211500,400-AFGV,DELL,400-AFGV,512GB SSD,EACH,1,$498.57,$324.07,35,"Options/Upgrades
Mobile Workstation"
1104,43211500,338-BIFC,DELL,338-BIFC,"Intel Core i7-6920HQ (quad Core 2.90 Ghz, 3.80GHz Turbo, 8B 45W",EACH,1,$741.43,$481.93,35,"Options/Upgrades
Mobile Workstation"
1105,43211500,"319-BBDS, 320-BBQV, 391
BCFF",DELL,"319-BBDS, 320-BBQV, 391
BCFF","15.6"" UltraSharpTM FHD IPS (1920x1080) Wide View Anti-Glare LED-",EACH,1,$270.00,$175.50,35,"Options/Upgrades
Mobile Workstation"
1106,43211500,370-ACSV,DELL,370-ACSV,"32GB (2x16GB) 2133MHz DDR4 SDRAM, Non-ECC",EACH,1,$588.57,$382.57,35,"Options/Upgrades
Mobile Workstation"
1107,43211500,580-ACLF,DELL,580-ACLF,"Internal Dual Pointing Backlit Keyboard, English",EACH,1,$50.00,$32.50,35,"Options/Upgrades
Mobile Workstation"
1108,43211500,338-BHRI,DELL,338-BHRI,Smart card Thunderbolt,EACH,1,$42.86,$27.86,35,"Options/Upgrades
Mobile Workstation"
1109,43211500,401-AAPS,DELL,401-AAPS,Secondary drive 1TB 2.5 inch 7200 rpm SATA Hard Drive,EACH,1,$198.57,$129.07,35,"Options/Upgrades
Mobile Workstation"
2000b,81110000,"997-1022,997-1024, 935-
8283",DELL,"997-1022,997-1024, 935-
8283",4 Year Basic Hardware Service with 4 Year NBD Onsite Service,EACH,1,$577.66,$398.59,31,"Service Options/Upgrades
Mobile Workstation"
2001b,81110000,"997-1022,997-1025, 933-
9854",DELL,"997-1022,997-1025, 933-
9854",5 Year Basic Hardware Service with 5 Year NBD Onsite Service,EACH,1,$823.23,$568.03,31,"Service Options/Upgrades
Mobile Workstation"
2002b,81110000,"997-8317, 997-8328, 997-
8334, 935-8283",DELL,"997-8317, 997-8328, 997-
8334, 935-8283",4 Year Basic Hardware Service with NBD Onsite Service,EACH,1,$475.66,$328.21,31,"Service Options/Upgrades
Power Laptop"
2003b,81110000,"997-8317, 997-8328, 997-
8335,933-9854",DELL,"997-8317, 997-8328, 997-
8335,933-9854",5 Year Basic Hardware Service with  NBD Onsite Service,EACH,1,$588.23,$405.88,31,"Service Options/Upgrades
Power Laptop"
2004d,81110000,"804-2167, 804-2169, 935-
8283",DELL,"804-2167, 804-2169, 935-
8283","4 Year Hardware Service with In-Home/Onsite Service After Remote
Diagnosis",EACH,1,$516.66,$356.50,31,"Service Options/Upgrades
Ultralight Laptop"
2005d,81110000,"804-2167, 804-2170,933-
9854",DELL,"804-2167, 804-2170,933-
9854","5 Year Hardware Service with In-Home/Onsite Service After Remote
Diagnosis",EACH,1,$619.23,$427.27,31,"Service Options/Upgrades
Ultralight Laptop"
2006d,81110000,"997-8317, 997-8328, 997-
8334, 935-8283",DELL,"997-8317, 997-8328, 997-
8334, 935-8283","4 Years Hardware Service with In-Home/Onsite Service After Remote
Diagnosis",EACH,1,$475.66,$328.21,31,"Service Options/Upgrades
Standard Laptop"
2007d,81110000,"997-8317, 997-8328, 997-
8335,933-9854",DELL,"997-8317, 997-8328, 997-
8335,933-9854","5 Years Hardware Service with In-Home/Onsite Service After Remote
Diagnosis",EACH,1,$588.23,$405.88,31,"Service Options/Upgrades
Standard Laptop"
2008b,81110000,"804-2238, 804-2240,935-
8283",DELL,"804-2238, 804-2240,935-
8283","Ultralight 14"" 4 Year Hardware Service with Onsite Service After
Remote Diagnosis",EACH,1,$475.66,$328.21,31,"Service Options/Upgrades
Ultralight Laptop"
2009b,81110000,"804-2238, 804-2241,933-
9854",DELL,"804-2238, 804-2241,933-
9854","Ultralight 14"" 5 Year Hardware Service with Onsite Service After
Remote Diagnosis",EACH,1,$588.23,$405.88,31,"Service Options/Upgrades
Ultralight Laptop"
2010,81110000,988-5542,DELL,988-5542,2 Years Extended Battery Service for Years 2 and 3 of System Life,EACH,1,$89.00,$61.41,31,"Service Options/Upgrades
All Laptops"
2011,81110000,"997-8380, 997-8381, 997-
8382, 997-8383, 997-8317,
997-8366",DELL,"997-8380, 997-8381, 997-
8382, 997-8383, 997-8317,
997-8366",3 Years ProSupport Plus with Next Business Day Onsite Service,EACH,1,$541.00,$351.65,35,"Service Options/Upgrades
Standard Laptop"
2012,81110000,"998-0538, 998-0547, 998-
0548,998-0549,998-0550",DELL,"998-0538, 998,0547, 998-
0548,998-0549,998-0550","Ultralight 12"" 3 Year ProSupport Plus with Next Business Day Onsite",EACH,1,$612.00,$397.80,35,"Service Options/Upgrades
Ultralight Laptop"
2013,81110000,"804-2238, 804-2244",DELL,"804-2238, 804-2244","Ultralight 14"" 3 Year Prosupport warranty",EACH,1,$427.00,$277.55,35,"Service Options/Upgrades
Ultralight Laptop"
2014,81110000,"804-2238, 804-2256, 804-
2257, 804-2258, 804-2259",DELL,"804-2238, 804-2256, 804-
2257, 804-2258, 804-2259","Ultralight 14"" 3 Year ProSupport Plus with Next Business Day Onsite
Service",EACH,1,$541.00,$351.65,35,"Service Options/Upgrades
Ultralight Laptop"
,81110000,"365-1245,365-1401",DELL,"365-1245,365-1401",Computrace 3 Year,EACH,1,$174.95,$134.71,23,"Value Added Services
All Laptops"
3001,81110000,TIG-AIN-NBK,TIG,TIG-AIN-NBK,Asset Information via Internet,EACH,1,,,23,"Value Added Services
All Laptops"
3002,81110000,TIG-ATG-NBK,TIG,TIG-ATG-NBK,Asset Tagging Services - Customer Provided Tags,EACH,1,$10.00,$7.70,23,"Value Added Services
All Laptops"
3003,81110000,TIG-DIS-NBK,TIG,TIG-DIS-NBK,Take-Back Services,EACH,1,$10.00,$7.70,23,"Value Added Services
All Laptops"
3004,81110000,TIG-DLG-NBK,TIG,TIG-DLG-NBK,Deployments & Logistics Services,EACH,1,46,$35.42,23,"Value Added Services
All Laptops"
3005,81110000,TIG-EMG-NBK,TIG,TIG-EMG-NBK,Emergency Services ( 4 hour response),EACH,1,58,$44.66,23,"Value Added Services
All Laptops"
3006,81110000,TIG-IMG-NBK,TIG,TIG-IMG-NBK,Imaging,EACH,1,27,$20.79,23,"Value Added Services
All Laptops"
3007,81110000,TIG-INS-NBK,TIG,TIG-INS-NBK,Installation Services,EACH,1,$40.00,$30.80,23,"Value Added Services
All Laptops"
3008,81110000,TIG-SWC-NBK,TIG,TIG-SWC-NBK,Self-Warranty Certification,EACH,1,,,23,"Value Added Services
All Laptops"
100-C,43211507,T6V32UP,HP,T6V32UP,"HP ProDesk 600 G2 SFF Business PC, Single
Unit (SFF) Packaging, ENERGY STAR Qualified
Label, HP ProDesk 600 SFF Platinum G2
Chassis, Microsoft Windows 7 Professional 64,
Intel Core i5-6500 3.2G 6M 2133 4C CPU, 4GB
DDR4-2133 DIMM (1x4GB) RAM, 500GB 7200
RPM SATA 6G 3.5 HDD, HP USB Business Slim
Keyboard
HP USB Mouse, 9.5mm Slim Desktop, uperMulti
DVDRW ODD, 3/3/3 SFF Warranty US, HP
ProDesk 600 Country Kit US, Intel Inside Core i5",each,1,$901.00,450.5,50,Core Standard Desktop
102-B,43211507,W3U92UP,HP,W3U92UP,"Standard Desktop 800G2 SFF, HP EliteDesk 800
G2 SFF Business PC, Single Unit (SFF)
Packaging, ENERGY STAR Qualified Label
HP EliteDesk 800 SFF Platinum G2 Chassis
Microsoft Windows 7 Professional 64, Intel Core
i5-6500 3.2G 6M 2133 4C CPU, 4GB DDR4-2133
(1x4GB) RAM, 500GB 7200 RPM SATA 6G 3.5
HDD, HP USB Business Slim Keyboard, HP USB
Mouse, 9.5mm Slim Desktop SuperMulti DVDRW
ODD, 3/3/3 (material/labor/onsite) SFF/ST
Warranty US
HP EliteDesk 800 Country Kit US, Intel Inside
Core i5 SFF Label",each,1,$983.00,491.5,50,Core Standard Desktop
101-C,43211507,T6V33UP,HP,T6V33UP,"HP EliteDesk STANDARD DT 600G2 CMT, HP
ProDesk 600 G2 MT Business PC, Single Unit
(MT) Packaging, ENERGY STAR Qualified Label,
HP ProDesk 600 MT Platinum G2 Chassis,
Microsoft Windows 7 Professional 64, Intel Core
i5-6500 3.2G 6M 2133 4C CPU, 4GB DDR4-2133
DIMM (1x4GB) RAM, 500GB 7200 RPM SATA
6G 3.5 HDD, HP USB Business Slim Keyboard,
HP USB Mouse, 9.5mm Slim Desktop SuperMulti
DVDRW, DD, 3/3/3 (material/labor/onsite) MT
Warranty US, HP ProDesk 600 Country Kit US,
Intel Inside Core i5 TWR/MT Label",each,1,$952.00,476,50,Core Standard Desktop
103-B,43211507,W3U93UP,HP,W3U93UP,"Standard Desktop 800G2 CMT, HP EliteDesk 800
G2 TWR Business PC, Single Unit (TWR)
Packaging, ENERGY STAR Qualified Label, HP
EliteDesk 800 TWR Platinum G2 Chassis,
Microsoft Windows 7 Professional 64, Intel Core
i5-6500 3.2G 6M 2133 4C CPU, 4GB DDR4-2133
(1x4GB) RAM, 500GB 7200 RPM SATA 6G 3.5
HDD, HP USB Business Slim Keyboard, HP USB
Mouse, 9.5mm Slim Desktop SuperMulti DVDRW
ODD, 3/3/3 (material/labor/onsite) TWR Warranty
US, HP EliteDesk 800 Country Kit US, Intel Inside
Core i5 TWR/MT Label",each,1,"$1,019.00",509.5,50,Core Standard Desktop
200-C,43211507,T6U97UP,HP,T6U97UP,"Power Desktop 800G2 SFF, HP EliteDesk 800
G2 SFF Business PC, Single Unit (SFF)
Packaging, ENERGY STAR Qualified Label, HP
EliteDesk 800 SFF Platinum G2 Chassis,
Microsoft Windows 7 Professional 64, Intel Core
i7-6700 3.4G 8M 2133 4C CPU, 8GB DDR4-2133
(2x4GB) RAM, 500GB 7200 RPM SATA 6G 3.5
HDD, HP USB Business Slim Keyboard, HP USB
Mouse, 9.5mm Slim Desktop SuperMulti DVDRW
ODD, 3/3/3 (material/labor/onsite) SFF/ST
Warranty US, HP EliteDesk 800 Country Kit US,
Intel Inside Core i7 SFF Label",each,1,"$1,234.00",617,50,Core Power Desktop
400-B,43211507,F5A53AA#ABA,HP,F5A53AA#ABA,"HP t620 Flexible Series AMD Thin Client WES7E,
AMD Fusion t56N 2nd Gen. 1.65GHz dual core
1MB L2 Cache, 4GB (1x4GB) RAM DDR3-1600,
16 GB SSD, 3/3/0 Warranty",each,1,$720.00,360,50,Core Thin Client Desktop
1004-A,43211902,L1G56AV,HP,L1G56AV,AMD Radeon R9 350 2GB DH PCIe x16 GFX,each,1,$159.00,63.6,60,POWER DESKTOP 800 Upgrade
1007-A,43211902,N1T21AV,HP,N1T21AV,Intel 8260 802.11ac PCIe-CL BT VPro,each,1,$150.00,60,60,POWER DESKTOP 800 Upgrade
1009-A,43211902,L1Z45AV,HP,L1Z45AV,Slim Desktop DVD-ROM ODD,each,1,$28.00,11.2,60,POWER DESKTOP 800 Upgrade
1010-A,43211902,N8G29AV,HP,N8G29AV,Intel Core i5-6600 3.3G 6M 2133 4C CPU,each,1,$835.00,334,60,600 Desktop Upgrades
1011-B,43211902,L1Q07AV,HP,L1Q07AV,8GB DDR4-2133 DIMM (2x4GB) RAM,each,1,$215.00,86,60,600 Desktop Upgrades
1012-A,43211902,L1P96AV,HP,L1P96AV,AMD Radeon R9 350 2GB DH PCIe x16 GFX,each,1,$220.00,88,60,600 Desktop Upgrades
1013-A,43211902,L1Q19AV,HP,L1Q19AV,Intel 7265 802.11AC PCIe BT nVPr,each,1,$81.00,32.4,60,600 Desktop Upgrades
1014-A,43211902,L2B27AV,HP,L2B27AV,Slim Desktop DVD-ROM ODD,each,1,$75.00,30,60,600 Desktop Upgrades
1015-B,43211902,L1G54AV,HP,L1G54AV,16GB DDR4-2133 DIMM (2x8GB) RAM,each,1,$520.00,208,60,POWER DESKTOP 800 Upgrade
1018-A,43211902,L1Z12AV,HP,L1Z12AV,1TB 7200 RPM SATA 6G HDD,each,1,$175.00,70,60,POWER DESKTOP 800 Upgrade
1019-A,43211902,L1Z20AV,HP,L1Z20AV,256GB SATA 2.5 3D SSD,each,1,$575.00,230,60,POWER DESKTOP 800 Upgrade
1020,43211902,M9S33AV,HP,M9S33AV,180GB SATA 2.5 Non-SED SSD,each,1,$297.00,118.8,60,POWER DESKTOP 800 Upgrade
1023-A,43211902,L1P73AV,HP,L1P73AV,HP DisplayPort To DVI-D Adapter,each,1,$12.00,4.8,60,POWER DESKTOP 800 Upgrade
1025-A,43211902,L4K62AV,HP,L4K62AV,8GB DDR4-2133 SODIMM (2x4GB) RAM,each,1,$192.00,76.8,60,AOI Options Upgrades
1026-C,43211902,L4K07AV,HP,L4K07AV,128GB SATA 2.5 SSD,each,1,$160.00,64,60,AiO 800 Options Upgrades
1028-A,43211902,N1U53AV,HP,N1U53AV,HP Recline Stand,each,1,$175.00,70,60,AiO Upgrade
1030,43211902,VN567AA,HP,VN567AA,Display port cable kit,each,1,$25.00,10,60,Options Upgrades
1032-A,43211902,L1W03AV,HP,L1W03AV,16GB DDR4-2133 SODIMM (2x8GB) RAM,each,1,$400.00,160,60,800 Mini  Upgrades
1034-A,43211902,N8G54AV,HP,N8G54AV,Intel 8260 802.11ac M.2 BT VPro,each,1,$75.00,30,60,800 Mini  Upgrades
1035-A,43211902,N8G38AV,HP,N8G38AV,120GB SATA 2.5 Opal2 SED SSD,each,1,$275.00,10,60,800 Mini  Upgrades
1037-A,43211902,N8G41AV,HP,N8G41AV,180GB SATA 2.5 Non-SED SSD,each,1,$350.00,140,60,800 Mini  Upgrades
1038-A,43211902,N8G42AV,HP,N8G42AV,180GB SATA 2.5 Opal2 SED SSD,each,1,$350.00,140,60,800 Mini  Upgrades
1039-A,43211902,L2A59AV,HP,L2A59AV,1TB SATA 6G 2.5 8G SSHD,each,1,$175.00,70,60,800 Mini  Upgrades
1040-A,43211902,L2A62AV,HP,L2A62AV,256GB SATA 2.5 Opal2 SED SSD,each,1,$500.00,200,60,800 Mini  Upgrades
1041-A,43211902,L3N90AV,HP,L3N90AV,HP EliteOne 800 G2 23-in Non-Touch AiO,each,1,"$2,075.00",830,60,AiO 800 Options Upgrades
1042,43211902,D9J19AA,HP,D9J19AA,HP Business Speakers,each,1,$50.00,20,60,Options Upgrades
1043,43211902,DC198A,HP,DC198A,HP DVI Cable Kit,each,1,$30.00,12,60,Options Upgrades
1044,43211902,AS615AA,HP,AS615AA,HP DisplayPort To VGA Adapter,each,1,$50.00,20,60,Options Upgrades
1045,43211902,DL139A,HP,DL139A,"DMS-59 to Dual DVI Cable Kit,accessory",each,1,$40.00,16,60,Options Upgrades
1046,43211902,NL571AA,HP,NL571AA,HP USB Graphics Adapter,each,1,$73.00,29.2,60,Options Upgrades
1047,43211902,BU516AA,HP,BU516AA,HP Mobile USB DVDRW Drive,each,1,$125.00,50,60,Options Upgrades
1048,43211902,XP688AA,HP,XP688AA,HP DMS-59 to dual DisplayPort Adapter,each,1,$40.00,16,60,Options Upgrades
1049,43211902,GS567AA,HP,GS567AA,HP DMS 59 to Dual VGA Cable Kit,each,1,$30.00,12,60,Options Upgrades
1050,43211902,NQ576AA,HP,NQ576AA,HP LCD Speaker Bar,each,1,$42.50,17,60,Options Upgrades
1051,43211902,E0X93AA,HP,E0X93AA,Intel 6205 802.11 a/b/g/n PCIe x1 WLAN,each,1,$85.00,34,60,Options Upgrades
1052,43211902,A2U57AA,HP,A2U57AA,HP Mobile USB nLS DVDRW Drive,each,1,$170.00,68,60,Options Upgrades
1053,43211902,J3J88AV,HP,J3J88AV,300GB 10K RPM SAS SFF 1st HDD,each,1,$405.00,162,60,Z640 Options Upgrades
1054,43211902,J3J90AV,HP,J3J90AV,1.2TB 10K RPM SAS SFF 1st HDD,each,1,"$1,010.00",404,60,Z640 Options Upgrades
1055,43211902,J1P92AV,HP,J1P92AV,"NVIDIA Quadro K420 1GB DL-DVI(I)+DP 1st No
cables included Graphics",each,1,$258.00,103.2,60,Z640 Options Upgrades
1056,43211902,J1P95AV,HP,J1P95AV,"NVIDIA Quadro K4200 4GB DL-DVI(I)+2xDP 1st
No cables included Graphics",each,1,"$1,618.00",647.2,60,Z640 Options Upgrades
1057,43211902,J1P96AV,HP,J1P96AV,"NVIDIA Quadro K5200 8GB DL-DVI(I)+DL-
DVI(D)+2xDP 1st No cables included Graphics",each,1,"$3,556.00",1422.4,60,Z640 Options Upgrades
1058,43211902,J1P93AV,HP,J1P93AV,"NVIDIA Quadro K620 2GB DL-DVI(I)+DP 1st No
cables included Graphics",each,1,$324.00,129.6,60,Z640 Options Upgrades
1059,43211902,J6F21AV,HP,J6F21AV,"Intel Xeon E5-1607v3 3.10GHz 10MB 1866 4C
CPU",each,1,$663.00,265.2,60,Z640 Options Upgrades
1060,43211902,J6F20AV,HP,J6F20AV,"Intel Xeon E5-1620v3 3.50GHz 10MB 2133 4C
CPU",each,1,$970.00,388,60,Z640 Options Upgrades
1061,43211902,J6F19AV,HP,J6F19AV,"Intel Xeon E5-1630v3 3.70GHz 10MB 2133 4C
CPU",each,1,"$1,293.00",517.2,60,Z640 Options Upgrades
1062,43211902,J6F18AV,HP,J6F18AV,"Intel Xeon E5-1650v3 3.50GHz 15MB 2133 6C
CPU",each,1,"$1,956.00",782.4,60,Z640 Options Upgrades
1063,43211902,J6F17AV,HP,J6F17AV,"Intel Xeon E5-1660v3 3.00GHz 20MB 2133 8C
CPU",each,1,"$3,395.00",1358,60,Z640 Options Upgrades
1064,43211902,J6F16AV,HP,J6F16AV,"Intel Xeon E5-1680v3 3.20GHz 20MB 2133 8C
CPU",each,1,"$5,335.00",2134,60,Z640 Options Upgrades
1065,43211902,J6F36AV,HP,J6F36AV,"Intel Xeon E5-2630v3 2.40GHz 20MB 1866 8C
CPU",each,1,"$2,102.00",840.8,60,Z640 Options Upgrades
1066,43211902,G8X31AV,HP,G8X31AV,32GB DDR4-2133 (4x8GB) 1CPU RegRAM,each,1,"$1,940.00",776,60,Z640 Options Upgrades
1067,43211902,G8X38AV,HP,G8X38AV,32GB DDR4-2133 (4x8GB) 2CPU RegRAM,each,1,"$1,940.00",776,60,Z640 Options Upgrades
1069,43211902,K6D86AV,HP,K6D86AV,64GB DDR4-2133 (4x16GB) 2CPU RegRAM,each,1,"$3,716.00",1486.4,60,Z640 Options Upgrades
1070,43211902,G8X36AV,HP,G8X36AV,16GB DDR4-2133 (4x4GB) 2CPU RegRAM,each,1,"$1,618.00",647.2,60,Z640 Options Upgrades
1071,43211902,J3J82AV,HP,J3J82AV,256GB SATA 1st SSD,each,1,$578.00,231.2,60,Z640 Options Upgrades
1072,43211902,J3J83AV,HP,J3J83AV,512GB SATA 1st SSD,each,1,"$1,103.00",441.2,60,Z640 Options Upgrades
1073,43211902,N2Q44AV,HP,N2Q44AV,Intel Core i7-6700 3.4G 8M 2133 4C CPU,each,1,$649.00,259.6,60,AiO 800 Options Upgrades
1074,43211902,T3N35AV,HP,T3N35AV,HP Tri-Mode Wireless Charging Stand,each,1,$450.00,180,60,AiO 800 Options Upgrades
1800-A,43211902,M1F41AA#ABA,HP,M1F41AA#ABA,HP EliteDisplay E202 Monitor US,each,1,$315.00,126,60,"Options Upgrades 19 Inch Widescreen
Monitor O/U"
